编号,项目,点位,隐患类型,标题,问题描述,整改建议,风险等级,责任人,复核人,期限,整改前证据
XF-QP-013,青浦智造产业园消防维保试点,4号楼 3F 南侧办公室,报警系统,烟感探测器防尘罩未取下,装修后烟感探测器防尘罩仍未拆除。,拆除防尘罩并复测报警信号。,紧急,租户负责人-王店长,维保项目-李工,2026-06-15,现场照片1张
XF-QP-014,青浦智造产业园消防维保试点,5号楼 B1 水泵房,消防泵房,消防泵房巡检记录缺失,消防泵房近两周巡检记录未填写。,补齐巡检记录并落实每日巡检。,普通,物业工程-陈工,安全负责人-周经理,2026-06-17,巡检台账截图
XF-QP-015,青浦智造产业园消防维保试点,5号楼 1F 大堂,防火门,常闭防火门被门吸固定,常闭防火门被门吸固定为开启状态。,拆除门吸，恢复常闭状态，上传整改后照片。,重大,物业工程-陈工,安全负责人-周经理,2026-06-15,整改前照片1张
XF-QP-016,青浦智造产业园消防维保试点,5号楼 6F 茶水间,喷淋遮挡,吊柜遮挡喷淋保护范围,新增吊柜距离喷淋头过近。,调整吊柜或喷淋保护空间，上传整改后照片。,紧急,租户负责人-王店长,维保项目-李工,2026-06-15,现场照片2张
XF-QP-017,青浦智造产业园消防维保试点,6号楼 1F 门厅,应急照明,疏散指示灯亮度不足,疏散指示灯亮度明显不足，标识不清。,更换指示灯并上传通电照片。,普通,物业工程-陈工,安全负责人-周经理,2026-06-17,巡检照片1张
XF-QP-018,青浦智造产业园消防维保试点,6号楼 3F 西侧楼梯间,消防通道,楼梯间堆放装修材料,楼梯平台堆放装修板材，影响疏散。,立即清理装修材料并加强巡查。,紧急,外包维修-赵师傅,安全负责人-周经理,2026-06-15,现场照片1张
XF-QP-019,青浦智造产业园消防维保试点,6号楼 5F 北侧消防栓,消防栓,消防水带摆放不规范,消防水带未按规定盘卷，接口外露。,重新盘卷水带并上传照片。,普通,维保项目-李工,安全负责人-周经理,2026-06-17,维保报告第19项
XF-QP-020,青浦智造产业园消防维保试点,7号楼 B1 车库 A 区,报警系统,声光报警器外壳破损,声光报警器外壳破损，需确认功能。,更换外壳或设备，上传复测照片。,紧急,外包维修-赵师傅,维保项目-李工,2026-06-15,整改前照片1张
XF-QP-021,青浦智造产业园消防维保试点,7号楼 2F 办公区,灭火器,灭火器被办公桌遮挡,灭火器取用位置被办公桌和纸箱遮挡。,调整办公桌和物品位置，保持取用通道。,普通,租户负责人-王店长,安全负责人-周经理,2026-06-17,现场照片1张
XF-QP-022,青浦智造产业园消防维保试点,7号楼 4F 东侧走廊,防火门,防火门密封条脱落,防火门局部密封条脱落，影响防烟效果。,更换密封条并上传整改后照片。,紧急,外包维修-赵师傅,维保项目-李工,2026-06-15,维保报告第22项
XF-QP-023,青浦智造产业园消防维保试点,8号楼 1F 消控室,消控室,消控室值班记录不完整,消控室值班记录缺少交接签字。,补齐交接记录并规范值班台账。,普通,物业客服-沈主管,安全负责人-周经理,2026-06-17,台账照片1张
XF-QP-024,青浦智造产业园消防维保试点,8号楼 2F 南侧通道,消防通道,安全出口前堆放杂物,安全出口门前堆放纸箱和清洁用品。,清理杂物，确保安全出口前方无遮挡。,紧急,物业工程-陈工,安全负责人-周经理,2026-06-15,现场照片2张
XF-QP-025,青浦智造产业园消防维保试点,8号楼 5F 开放办公区,应急照明,应急灯安装松动,应急照明灯安装底座松动。,重新固定并上传整改后照片。,普通,外包维修-赵师傅,维保项目-李工,2026-06-17,巡检照片1张
XF-QP-026,青浦智造产业园消防维保试点,9号楼 B1 配电间,灭火器,灭火器数量不足,配电间灭火器配置数量不足。,按规范补配灭火器并上传现场照片。,重大,物业工程-陈工,安全负责人-周经理,2026-06-15,维保报告第26项
XF-QP-027,青浦智造产业园消防维保试点,9号楼 3F 茶水间,喷淋遮挡,临时货架遮挡喷淋,临时货架顶部货物遮挡喷淋头。,移走临时货架或降低堆放高度。,紧急,仓储主管-刘主管,维保项目-李工,2026-06-15,整改前照片1张
XF-QP-028,青浦智造产业园消防维保试点,9号楼 6F 东侧走廊,报警系统,手报按钮玻璃破损,手动报警按钮保护玻璃破损。,更换保护玻璃并测试按钮功能。,普通,维保项目-李工,安全负责人-周经理,2026-06-17,现场照片1张
XF-QP-029,青浦智造产业园消防维保试点,10号楼 1F 大厅,消防通道,疏散通道地贴缺失,疏散通道地面导向标识缺失。,补贴导向标识并上传现场照片。,普通,物业客服-沈主管,安全负责人-周经理,2026-06-17,维保报告第29项
XF-QP-030,青浦智造产业园消防维保试点,10号楼 4F 西侧楼梯间,防火门,防火门门框变形,防火门门框局部变形，关闭不严。,维修门框并提交关闭测试视频。,重大,外包维修-赵师傅,维保项目-李工,2026-06-15,整改前照片1张
